pos
0.00, 0.00, 0.00
XŽ², YŽ², ZŽ², Red, Green, Blue, Alpha
-1250.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-1200.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-1150.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-1100.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-1050.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-1000.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-950.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-900.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-850.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-800.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-750.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-700.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-650.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-600.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-550.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-500.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-450.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-400.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-350.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-300.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-250.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-200.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-150.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-100.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-50.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
0.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
50.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
100.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
150.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
200.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
250.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
300.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
350.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
400.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
450.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
500.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
550.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
600.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
650.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
700.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
750.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
800.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
850.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
900.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
950.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
1000.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
1050.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
1100.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
1150.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
1200.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
1250.00, 0.00, 1250.00, 0.00, 1.00, 0.40, 1.00
-1250.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-1200.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-1150.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-1100.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-1050.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-1000.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-950.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-900.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-850.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-800.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-750.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-700.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-650.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-600.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-550.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-500.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-450.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-400.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-350.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-300.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-250.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-200.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-150.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-100.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
-50.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
0.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
50.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
100.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
150.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
200.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
250.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
300.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
350.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
400.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
450.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
500.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
550.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
600.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
650.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
700.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
750.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
800.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
850.00, 0.00, 1200.00, 0.00, 1.00, 0.40, 1.00
